LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000006108-0001-7,2400 FLETCHER DRIVE INC,RICKS DRIVE IN/OUT,2400 FLETCHER DRIVE,LOS ANGELES,90039-2802,2400 FLETCHER 90039-2802,,,,722110,Full-service restaurants,13,10/26/1981,,POINT (-118.2565 34.1059)
0000006300-0001-7,ANTONIO BENITEZ RODRIGUEZ,TACOS LOS TORITOS 3,13060 GLENOAKS BLVD #106,SYLMAR,91342-3960,13060 GLENOAKS 91342-3960,13191 HERRICK AVENUE,SYLMAR,91342-3932,722110,Full-service restaurants,7,01/01/1992,,POINT (-118.4499 34.3077)
0000006603-0001-5,GAM JA GOL CORPORATION,,3003 W OLYMPIC BLVD #107,LOS ANGELES,90006-6511,3003 OLYMPIC 90006-6511,,,,722110,Full-service restaurants,10,05/01/2003,,POINT (-118.3004 34.0526)
0000006665-0001-6,FERNANDO GARCIA,RESTAURANT AND PUPUSERIA LA ARCA,5570 N FIGUEROA STREET,LOS ANGELES,90042-4120,5570 FIGUEROA 90042-4120,,,,722110,Full-service restaurants,1,05/15/2003,,POINT (-118.1941 34.1089)
0000006809-0001-9,MARWAHA RESTAURANTS INC,DENNY'S #7213,5525 SEPULVEDA BLVD,SHERMAN OAKS,91411-3438,5525 SEPULVEDA 91411-3438,2551 W WOODLAND DRIVE,ANAHEIM,92801-2608,722110,Full-service restaurants,4,05/01/2003,,POINT (-118.4661 34.1707)
0000006874-0001-1,RARM INC,FREO SEGAL MAUROS CAFE,7469 MELROSE AVENUE,LOS ANGELES,90046-7565,7469 MELROSE 90046-7565,,,,722110,Full-service restaurants,5,01/02/1992,,POINT (-118.3528 34.0839)
0000007648-0001-0,HECTOR R ROSALES,PARAISO RESTAURANT,113 W 3RD STREET,LOS ANGELES,90013-1303,113 3RD 90013-1303,7321 RIO HONDO PLACE,DOWNEY,90241-2036,722110,Full-service restaurants,14,02/11/2000,,POINT (-118.2461 34.0498)
0000007689-0001-9,FERNANDO VAZQUEZ,LAS MARGARITAS RESTAURANT,2914 WHITTIER BLVD,LOS ANGELES,90023-1529,2914 WHITTIER 90023-1529,,,,722110,Full-service restaurants,14,02/01/2000,,POINT (-118.2085 34.0311)
0000007779-0001-3,JUSTIN TANG,MR GOOD'S DONUT,4601 HUNTINGTON DRIVE N,LOS ANGELES,90032-1919,4601 HUNTINGTON 90032-1919,,,,722110,Full-service restaurants,14,03/01/2000,,POINT (-118.1876 34.0862)
0000007879-0001-1,JUAN J GUERRA/ENRIQUE GUERRA,TAMS BURGERS # 10,4701 S BROADWAY,LOS ANGELES,90037-3244,4701 BROADWAY 90037-3244,,,,722110,Full-service restaurants,9,12/02/1991,,POINT (-118.2783 34.001)
0000008149-0001-1,MANUEL/MARTHA MARAVILLA,M AND M MINI MARKET,5811 COMPTON AVENUE,LOS ANGELES,90011-4947,5811 COMPTON 90011-4947,,,,722110,Full-service restaurants,9,05/01/1992,,POINT (-118.2477 33.9897)
0000008188-0001-1,FERNANDO ROSALEZ,TAQUERIA JALISCO #2,740 S PACIFIC AVENUE,SAN PEDRO,90731-3204,740 PACIFIC 90731-3204,,,,722110,Full-service restaurants,15,10/01/2004,,POINT (-118.2879 33.7372)
0000008207-0004-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #6745,6840 RESEDA BLVD,RESEDA,91335-4204,6840 RESEDA 91335-4204,POST OFFICE BOX #34067,SEATTLE,98124-1067,722110,Full-service restaurants,4,10/19/2002,,POINT (-118.536 34.1945)
0000008207-0005-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #13365,12520 SHERMAN WAY,NORTH HOLLYWOOD,91605-5236,12520 SHERMAN 91605-5236,POST OFFICE BOX #34067,SEATTLE,98124-1067,722110,Full-service restaurants,2,10/10/2008,,POINT (-118.406 34.2012)
0000008207-0006-6,STARBUCKS CORPORATION,STARBUCKS COFFEE #16710,9157 DE SOTO AVENUE,CHATSWORTH,91311-4906,9157 DE SOTO 91311-4906,POST OFFICE BOX #34067,SEATTLE,98124-1067,722110,Full-service restaurants,12,04/06/2012,,POINT (-118.5885 34.2372)
0000008586-0001-4,EGG PANORAMA INC,EL GALLO GIRO,8309 VAN NUYS BLVD,PANORAMA CITY,91402-3607,8309 VAN NUYS 91402-3607,12764 FLORENCE AVENUE,SANTA FE SPRINGS,90670-3906,722110,Full-service restaurants,6,03/01/2000,,POINT (-118.4487 34.2216)
0000009260-0001-2,JUVENTINO AGUILAR,JUGOS EL ANTOJITO,16717 S FIGUEROA STREET,GARDENA,90248-2628,16717 FIGUEROA 90248-2628,,,,722110,Full-service restaurants,15,06/11/1994,,POINT (-118.2825 33.8805)
0000009260-0002-1,JUVENTINO AGUILAR,EL ANTOJITO,4911 E ROSECRANS AVENUE,COMPTON,90221-1853,4911 ROSECRANS 90221-1853,16717 S FIGUEROA STREET,GARDENA,90248-2628,722110,Full-service restaurants,0,01/20/1999,,POINT (-118.1887 33.9036)
0000009260-0003-9,JUVENTINO AGUILAR,TACOS I MARISCOS EL ANTOJITO,16717 S FIGUEROA STREET,GARDENA,90248-2628,16717 FIGUEROA 90248-2628,5014 1/2 HAYTER AVENUE,LAKEWOOD,90712-3130,722110,Full-service restaurants,15,01/10/2001,,POINT (-118.2825 33.8805)
0000009348-0001-0,BRISTOL FARMS,,1515 WESTWOOD BLVD,LOS ANGELES,90024-5601,1515 WESTWOOD 90024-5601,915 E 230TH STREET,CARSON,90745-5005,722110,Full-service restaurants,5,03/08/2000,,POINT (-118.4405 34.0538)
0000009348-0002-8,BRISTOL FARMS,BRISTOL FARMS STORE #9,7880 W SUNSET BLVD,LOS ANGELES,90046-3309,7880 SUNSET 90046-3309,915 E 230TH STREET,CARSON,90745-5005,722110,Full-service restaurants,13,04/21/1999,,POINT (-118.361 34.098)
0000009541-0001-4,PASTA MAMA INC,HUGO'S RESTAURANT,12851 RIVERSIDE DRIVE,N HOLLYWOOD,91607-3320,12851 RIVERSIDE 91607-3320,616 N DETROIT STREET,LOS ANGELES,90036-1946,722110,Full-service restaurants,4,04/01/2000,,POINT (-118.4121 34.1576)
0000009629-0001-1,PEPPONE CORP,,11628 BARRINGTON COURT,LOS ANGELES,90049-2929,11628 BARRINGTON 90049-2929,,,,722110,Full-service restaurants,11,03/01/1975,,POINT (-118.4692 34.0652)
0000010016-0001-6,STRAWBERRY PATCH INC,ROSEGOLD SALOON,11501 W PICO BLVD,LOS ANGELES,90064-1519,11501 PICO 90064-1519,,,,722110,Full-service restaurants,11,01/01/1975,,POINT (-118.4424 34.0333)
0000010093-0001-1,JDS RESTAURANT GROUP INC,SENOR GRANDES,21514 VICTORY BLVD,WOODLAND HILLS,91367-2423,21514 VICTORY 91367-2423,3717 E THOUSAND OAKS BLVD,WESTLAKE VILLAGE,91362-3607,722110,Full-service restaurants,3,04/01/1992,,POINT (-118.5999 34.188)
0000010717-0002-6,ONEMOR INC,MC DONALDS,4011 S CENTRAL AVENUE,LOS ANGELES,90011-2707,4011 CENTRAL 90011-2707,2202 S FIGUEROA STREET SUITE #4003,LOS ANGELES,90007-2049,722110,Full-service restaurants,9,01/13/2014,,POINT (-118.2569 34.0106)
0000011069-0001-5,BARONES INC,,13726 OXNARD STREET,VAN NUYS,91401-3905,13726 OXNARD 91401-3905,,,,722110,Full-service restaurants,2,08/25/1985,,POINT (-118.4322 34.1794)
0000011199-0001-4,GENOVEVA HERNANDEZ,MI RANCHITO RESTAURANT,2325 E 1ST STREET,LOS ANGELES,90033-4001,2325 1ST 90033-4001,,,,722110,Full-service restaurants,14,09/10/1996,,POINT (-118.2103 34.0439)
0000011210-0002-1,KING TACO RESTAURANT INC,KING TACO # 1,1118 CYPRESS AVENUE,LOS ANGELES,90065-1111,1118 CYPRESS 90065-1111,714 W OLYMPIC BLVD SUITE #206,LOS ANGELES,90015-1425,722110,Full-service restaurants,1,01/01/1975,,POINT (-118.2264 34.0942)
0000011210-0003-9,KING TACO RESTAURANT INC,KING TACO # 6,1951 S SAN PEDRO STREET,LOS ANGELES,90011-1121,1951 SAN PEDRO 90011-1121,714 W OLYMPIC BLVD SUITE #206,LOS ANGELES,90015-1425,722110,Full-service restaurants,9,05/21/1979,,POINT (-118.2582 34.0263)
0000011210-0004-7,KING TACO RESTAURANT INC,KING TACO #8,2904 N BROADWAY,LOS ANGELES,90031-2601,2904 BROADWAY 90031-2601,714 W OLYMPIC BLVD SUITE #206,LOS ANGELES,90015-1425,722110,Full-service restaurants,1,06/08/1982,,POINT (-118.2116 34.0737)
0000011210-0005-5,KING TACO RESTAURANT INC,KING TACO # 9,2400 E CESAR E CHAVEZ AVENUE,LOS ANGELES,90033-3002,2400 CESAR E CHAVEZ 90033-3002,714 W OLYMPIC BLVD,LOS ANGELES,90015-1425,722110,Full-service restaurants,14,03/01/1984,,POINT (-118.2072 34.0465)
0000011210-0006-3,KING TACO RESTAURANT INC,KING TACO #10,2020 W PICO BLVD,LOS ANGELES,90006-5011,2020 PICO 90006-5011,714 W OLYMPIC BLVD SUITE #206,LOS ANGELES,90015-1425,722110,Full-service restaurants,1,05/01/1984,,POINT (-118.2821 34.047)
0000011210-0007-1,KING TACO RESTAURANT INC,KING TACO # 6 B,645 E WASHINGTON BLVD,LOS ANGELES,90015-3724,645 WASHINGTON 90015-3724,714 W OLYMPIC BLVD SUITE #206,LOS ANGELES,90015-1425,722110,Full-service restaurants,14,07/17/1996,,POINT (-118.258 34.028)
0000012404-0001-1,"EGN, INC",IL CAPRICCIO ON VERMONT,1757 N VERMONT AVENUE,LOS ANGELES,90027-4305,1757 VERMONT 90027-4305,,,,722110,Full-service restaurants,4,09/01/2003,,POINT (-118.2917 34.1029)
0000012595-0001-6,SUMOL CHOMYONG,,2316 HYPERION AVENUE,LOS ANGELES,90027-4712,2316 HYPERION 90027-4712,,,,722110,Full-service restaurants,4,03/01/2006,,POINT (-118.2731 34.1018)
0000013642-0002-8,ARNIE MORTON'S OF CHICAGO,ARNIE MORTON'S OF CHICAGO--THE STEAKHOUSE,735 S FIGUEROA STREET #207M,LOS ANGELES,90017-2562,735 FIGUEROA 90017-2562,1510 WEST LOOP S,HOUSTON,77027-9505,722110,Full-service restaurants,14,10/15/2001,,POINT (-118.2603 34.0488)
0000013764-0001-4,LA PIZZA LOCA INC #36,,252 E MARTIN LUTHER KING JR BLVD,LOS ANGELES,90011-2651,252 MARTIN LUTHER KING JR 90011-2651,9550 FIRESTONE BLVD SUITE #105,DOWNEY,90241-5560,722110,Full-service restaurants,9,02/29/2000,,POINT (-118.2697 34.0111)
0000015790-0001-1,SHARON WOLF,SHARON'S GOOD EATS,6150 VAN NUYS BLVD #125,VAN NUYS,91401-3300,6150 VAN NUYS 91401-3300,,,,722110,Full-service restaurants,6,03/03/2003,,POINT (-118 34)
0000016017-0001-4,JOSE H VILLAREAL,LOS BURRITOS,1312 ECHO PARK AVENUE,LOS ANGELES,90026-3318,1312 ECHO PARK 90026,,,,722110,Full-service restaurants,13,03/01/1974,,POINT (-118.2569 34.0774)
0000016200-0001-5,FRANCY INC,PASTINA,2260 WESTWOOD BLVD,LOS ANGELES,90064-2018,2260 WESTWOOD 90064-2018,,,,722110,Full-service restaurants,5,10/01/1992,,POINT (-118.4309 34.0429)
0000016306-0001-1,"Z RESTAURANT, INC",FATBURGER,10955 KINROSS AVENUE,LOS ANGELES,90024-3414,10955 KINROSS 90024-3414,,,,722110,Full-service restaurants,5,04/01/1993,,POINT (-118.4466 34.0601)
0000016359-0001-2,EL JAY CORP,C & O TRATTORIA,31 WASHINGTON BLVD,MARINA DEL REY,90292-5123,31 WASHINGTON 90292-5123,3016 WASHINGTON BLVD,MARINA DEL REY,90292-5549,722110,Full-service restaurants,11,10/01/1992,,POINT (-118.4663 33.9793)
0000016408-0001-8,TAE NAM SHIN,GUSHI,978 GAYLEY AVENUE,LOS ANGELES,90024-2806,978 GAYLEY 90024-2806,,,,722110,Full-service restaurants,5,01/10/2000,,POINT (-118.4481 34.0624)
0000016662-0001-9,BEACH PIZZA INC,BEACH PIZZA,8601 LINCOLN BLVD,WESTCHESTER,90045-3554,8601 LINCOLN 90045-3554,,,,722110,Full-service restaurants,11,11/05/1992,,POINT (-118.4193 33.9597)
0000018006-0001-1,HOVAHANNES BADIKYAN,LORY'S RESTAURANT,4963 W SUNSET BLVD,LOS ANGELES,90027-5813,4963 SUNSET 90027,,,,722110,Full-service restaurants,13,06/03/2003,,POINT (-118.2976 34.0981)
0000019362-0001-6,CHAINARONG YENBAMROONG/JATUPORN THEPARUCK,TALESAI RESTAURANT,11744 VENTURA BLVD,STUDIO CITY,91604-2615,11744 VENTURA 91604-2615,,,,722110,Full-service restaurants,2,06/01/1992,,POINT (-118 34)
0000019766-0001-7,PARK DAE GAM NE INC,CHUNG DAM DONG PARK DAE GAM NE,955 S VERMONT AVENUE #G,LOS ANGELES,90006-1647,955 VERMONT 90006-1647,,,,722110,Full-service restaurants,10,06/13/2003,,POINT (-118.2916 34.054)
0000020544-0001-5,DRS ELECTRIC,FARMER BOYS,726 S ALAMEDA STREET,LOS ANGELES,90021-1616,726 ALAMEDA 90021-1616,,,,722110,Full-service restaurants,14,03/01/2000,,POINT (-118.2387 34.0332)
0000020616-0002-0,GRACE UNHUI CHOE,GRACE CAFE,1221 W 3RD STREET #265,LOS ANGELES,90017-5181,1221 3RD 90017-5181,,,,722110,Full-service restaurants,1,11/08/2010,,POINT (-118.2586 34.0571)
0000020655-0001-1,PEDRO OCAMPO,TACOS MEXICO (OCAMPO) #3,7140 VAN NUYS BLVD,VAN NUYS,91405-3005,7140 VAN NUYS 91405-3005,222 E 67TH STREET,LONG BEACH,90805-1202,722110,Full-service restaurants,6,02/25/2000,,POINT (-118.4487 34.2001)
0000021175-0001-5,CEC ENTERTAINMENT LLC,CHUCK E CHEESE'S | CHUCK E CHEESE'S #461,22940 VANOWEN STREET,WEST HILLS,91307-2540,22940 VANOWEN 91307-2540,1707 MARKET PLACE   SUITE #200,IRVING,75063-8049,722110,Full-service restaurants,12,06/23/1992,,POINT (-118.6274 34.1936)
0000021802-0001-3,CASELLI & ELSANAFIRI INC,CHIMNEYSWEEP LOUNGE,4354 WOODMAN AVENUE,SHERMAN OAKS,91423-3031,4354 WOODMAN 91423-3031,,,,722110,Full-service restaurants,4,07/01/1992,,POINT (-118.4312 34.1491)
0000021933-0001-7,PEDRO CRUZ,,5640 SANTA MONICA BLVD #A,LOS ANGELES,90038-2064,5640 SANTA MONICA 90038-2064,,,,722110,Full-service restaurants,13,06/16/2000,,POINT (-118.3122 34.0907)
0000022594-0001-8,LA FONDA ANTIOQUENA CORP,LA FONDA ANTOQUENA RESTAURANT,5125 MELROSE AVENUE,LOS ANGELES,90038-4108,5125 MELROSE 90038-4108,,,,722110,Full-service restaurants,13,07/07/1992,,POINT (-118.3125 34.0835)
0000023619-0001-7,C & K IMPORTING CO INC,C&K IMPORTING CO | PAPA CRISTO'S GREEK GRILL,2771 W PICO BLVD,LOS ANGELES,90006-3913,2771 PICO 90006-3913,2771 W PICO BLVD,LOS ANGELES,90006-3913,722110,Full-service restaurants,1,01/01/1949,,POINT (-118.2997 34.0472)
0000023784-0001-8,ZHIRAYR SARUKHANUAN,PIZZA MAN,18109 SATICOY STREET,RESEDA,91335-3120,18109 SATICOY 91335-3120,,,,722110,Full-service restaurants,4,07/27/1992,,POINT (-118.5275 34.2084)
0000023849-0001-4,TODOS MARKET,,1801 E FLORENCE AVENUE,LOS ANGELES,90001-2220,1801 FLORENCE 90001-2220,,,,722110,Full-service restaurants,0,03/24/2003,,POINT (-118.2411 33.9747)
0000024010-0001-4,ANNA TANG,,1713 E VERNON AVENUE #106,LOS ANGELES,90058-1729,1713 VERNON 90058-1729,,,,722110,Full-service restaurants,9,08/28/2003,,
0000024332-0001-5,CLINTONS RESTAURANTS INC,CLIFTONS CAFETERIA,648 S BROADWAY,LOS ANGELES,90014-1807,648 BROADWAY 90014-1807,648 S BROADWAY FLOOR #5,LOS ANGELES,90014-1807,722110,Full-service restaurants,14,04/01/1985,,POINT (-118.2527 34.0458)
0000025016-0001-9,"TERIYAKI YA, INC",,10650 1/2 BALBOA BLVD,GRANADA HILLS,91344-6329,10650 BALBOA 91344-6329,,,,722110,Full-service restaurants,12,05/01/2003,,POINT (-118.5022 34.2638)
0000025137-0001-9,ASAMBLEAS DE DIOS EBENEZER/C,,126 N ST LOUIS STREET,LOS ANGELES,90033-2835,126 ST LOUIS 90033-2835,,,,722110,Full-service restaurants,14,07/18/1992,,POINT (-118.2134 34.0454)
0000025433-0001-5,PHU NGUYEN HA,ALPINE STORE,838 N BROADWAY UNIT #C,LOS ANGELES,90012-4372,838 BROADWAY 90012-4372,,,,722110,Full-service restaurants,1,04/21/1992,,POINT (-118.2378 34.0631)
0000025810-0001-7,THAILAND PLAZA INC,L A FOOD COURT FAMILY RESTAURANT,5311 HOLLYWOOD BLVD,LOS ANGELES,90027-4910,5311 HOLLYWOOD 90027-4910,5321 HOLLYWOOD BLVD,LOS ANGELES,90027-4910,722110,Full-service restaurants,13,11/15/1992,,POINT (-118.3059 34.1017)
0000025812-0001-6,JINTANA NOOCHLA-OR,SAPP COFFEE SHOP,5183 HOLLYWOOD BLVD,LOS ANGELES,90027-6113,5183 HOLLYWOOD 90027-6113,,,,722110,Full-service restaurants,13,10/01/1992,,POINT (-118.3028 34.1017)
0000025900-0001-1,MARIA E CARRILLO,TACOS  CARRILLO,12722 GAIN STREET,PACOIMA,91331-1936,12722 GAIN 91331-1936,12360 EL ORO WAY,GRANADA HILLS,91344-1611,722110,Full-service restaurants,7,05/01/2003,,POINT (-118.4091 34.2668)
0000026017-0001-1,ANARBAGH INC,ANARBAGH INDIAN RESTAURANT,22721 VENTURA BLVD,WOODLAND HILLS,91364-1334,22721 VENTURA 91364-1334,,,,722110,Full-service restaurants,3,05/14/2003,,POINT (-118.6212 34.1666)
0000026351-0001-2,KIARASH CORP,SHAMSHIRI RESTAURANT,19249 ROSCOE BLVD,NORTHRIDGE,91324-4240,19249 ROSCOE 91324-4240,,,,722110,Full-service restaurants,3,07/09/2003,,POINT (-118.5524 34.2204)
0000026604-0002-1,ARTEMIO REBOLLAR,CARNITAS MICHOACAN,14064 VANOWEN STREET,VAN NUYS,91405-4143,14064 VANOWEN 91405-4143,,,,722110,Full-service restaurants,2,02/06/2018,,POINT (-118.4392 34.1938)
0000026670-0003-6,C G INVESTMENTS INC,SUBWAY 39685 | SUBWAY #39685,704 W 1ST STREET,LOS ANGELES,90012-2442,704 1ST 90012-2442,7506 ASHTON COURT,WEST HILLS,91304-5260,722110,Full-service restaurants,14,09/26/2007,,POINT (-118.2499 34.0564)
0000026670-0004-4,C G INVESTMENTS INC,SUBWAY 39683 | SUBWAY #39683,6006 LANKERSHIM BLVD,NORTH HOLLYWOOD,91606-4806,6006 LANKERSHIM 91606-4806,7506 ASHTON COURT,WEST HILLS,91304-5260,722110,Full-service restaurants,2,10/04/2007,,POINT (-118.3834 34.1795)
0000026670-0005-2,C G INVESTMENTS INC,SUBWAY 39684,1234 WILSHIRE BLVD UNIT #102,LOS ANGELES,90017-1970,1234 WILSHIRE 90017-1970,7506 ASHTON COURT,WEST HILLS,91304-5260,722110,Full-service restaurants,1,06/06/2008,,POINT (-118.2654 34.0532)
0000026670-0007-9,C G INVESTMENTS INC,SUBWAY #44433,635 S HOBART BLVD UNIT #D,LOS ANGELES,90005-5513,635 HOBART 90005-5513,7506 ASHTON COURT,WEST HILLS,91304-5260,722110,Full-service restaurants,10,10/28/2008,,POINT (-118.3053 34.0622)
0000026670-0009-5,C G INVESTMENTS INC,SUBWAY #1768,3959 WILSHIRE BLVD #B 7,LOS ANGELES,90010-3315,3959 WILSHIRE 90010-3315,7506 ASHTON COURT,WEST HILLS,91304-5260,722110,Full-service restaurants,10,05/25/1988,,POINT (-118.313 34.0617)
0000026670-0010-9,C G INVESTMENTS INC,SUBWAY #3795,198 S VERMONT AVENUE,LOS ANGELES,90004-5905,198 VERMONT 90004-5905,7506 ASHTON COURT,WEST HILLS,91304-5260,722110,Full-service restaurants,13,06/14/1989,,POINT (-118.2916 34.0704)
0000026670-0011-7,C G INVESTMENTS INC,SUBWAY #5449,2180 WESTWOOD BLVD #1B,LOS ANGELES,90025-6351,2180 WESTWOOD 90025-6351,7506 ASHTON COURT,WEST HILLS,91304-5260,722110,Full-service restaurants,5,04/05/1991,,POINT (-118.4319 34.0441)
0000026670-0014-1,C G INVESTMENTS INC,SUBWAY #6816,2408 S BARRINGTON AVENUE,LOS ANGELES,90064-2907,2408 BARRINGTON 90064-2907,7506 ASHTON COURT,WEST HILLS,91304-5260,722110,Full-service restaurants,11,01/01/2000,,POINT (-118.4454 34.0312)
0000026670-0019-2,C G INVESTMENTS INC,SUBWAY #13163,11275 SANTA MONICA BLVD,LOS ANGELES,90025-3155,11275 SANTA MONICA 90025-3155,7755 HASKELL AVENUE,VAN NUYS,91406-1906,722110,Full-service restaurants,11,08/09/2001,,POINT (-118.448 34.0466)
0000026670-0020-6,C G INVESTMENTS INC,SUBWAY #552,1018 N VERMONT AVENUE,LOS ANGELES,90029-2620,1018 VERMONT 90029-2620,7506 ASHTON COURT,WEST HILLS,91304-5260,722110,Full-service restaurants,13,05/12/1991,,POINT (-118.2917 34.0899)
0000026670-0032-0,C G INVESTMENTS INC,SUBWAY #44461,2112 BEVERLY BLVD,LOS ANGELES,90057-2204,2112 BEVERLY 90057-2204,7506 ASHTON COURT,WEST HILLS,91304-5260,722110,Full-service restaurants,13,04/02/2009,,POINT (-118.2704 34.0667)
0000026670-0035-4,C G INVESTMENTS INC,SUBWAY # 52105,255 S GRAND AVENUE SUITE #101,LOS ANGELES,90012-3035,255 GRAND 90012-3035,7755 HASKELL AVENUE,VAN NUYS,91406-1906,722110,Full-service restaurants,14,08/03/2011,,POINT (-118.2505 34.0538)
